X,Y,R,G,B,Temperature_C
0,451,222,180,10,1098.118811881188
0,452,222,180,10,1097.2277227722773
0,453,222,180,10,1096.3366336633662
0,454,222,180,10,1095.4455445544554
0,455,222,181,9,1094.5544554455446
0,456,222,181,9,1093.6633663366338
0,457,222,181,9,1092.7722772277227
0,458,222,181,9,1091.881188118812
0,459,222,181,9,1090.9900990099009
0,460,221,183,9,1090.09900990099
0,461,221,183,9,1089.2079207920792
0,462,221,183,9,1088.3168316831684
0,463,221,183,9,1087.4257425742574
0,464,220,184,8,1086.5346534653465
0,465,220,184,8,1085.6435643564355
0,466,220,184,8,1084.7524752475247
0,467,220,184,8,1083.8613861386139
0,468,219,185,8,1082.970297029703
0,469,219,185,8,1082.079207920792
0,470,219,185,8,1081.1881188118812
0,471,219,185,8,1080.2970297029703
0,472,218,186,7,1079.4059405940593
0,473,218,186,7,1078.5148514851485
0,474,218,186,7,1077.6237623762377
0,475,218,186,7,1076.7326732673268
0,476,218,186,7,1075.8415841584158
0,477,217,187,7,1074.950495049505
0,478,217,187,7,1074.0594059405942
0,479,217,187,7,1073.1683168316831
0,480,217,187,7,1072.2772277227723
0,481,216,188,7,1071.3861386138615
0,482,216,188,7,1070.4950495049504
0,483,216,188,7,1069.6039603960396
0,484,216,188,7,1068.7128712871288
0,485,215,188,6,1067.8217821782177
0,486,215,188,6,1066.930693069307
0,487,215,188,6,1066.039603960396
0,488,215,188,6,1065.1485148514853
0,489,214,189,6,1064.2574257425742
0,490,214,189,6,1063.3663366336634
0,491,214,189,6,1062.4752475247524
0,492,214,189,6,1061.5841584158416
0,493,213,190,6,1060.6930693069307
0,494,213,190,6,1059.80198019802
0,495,213,190,6,1058.9108910891089
0,496,213,190,6,1058.019801980198
0,497,213,190,6,1057.128712871287
0,498,212,190,5,1056.2376237623762
0,499,212,190,5,1055.3465346534654
0,500,212,190,5,1054.4554455445545
0,501,212,190,5,1053.5643564356435
0,502,211,191,5,1052.6732673267327
0,503,211,191,5,1051.7821782178219
0,504,211,191,5,1050.8910891089108
0,505,211,191,5,1050.0
0,506,210,191,5,1049.1089108910892
0,507,210,191,5,1048.2178217821781
0,508,210,191,5,1047.3267326732673
0,509,210,191,5,1046.4356435643565
0,510,209,192,4,1045.5445544554455
